Date,Equity
2018-01-19,225211.1220592644
2018-01-26,228827.6263305584
2018-02-02,222439.04546363823
2018-02-09,216120.77637282017
2018-02-16,216065.98850019852
2018-02-23,216867.01384493924
2018-03-02,216191.04777466095
2018-03-09,211405.56732801668
2018-03-16,210750.29306666885
2018-03-23,206675.90429765786
2018-03-30,209066.58543365228
2018-04-06,213570.91971154144
2018-04-13,216650.99135970563
2018-04-20,218376.04223632166
2018-04-27,221027.17773214082
2018-05-04,219496.4481752948
2018-05-11,223387.8809790995
2018-05-18,219044.7813138223
2018-05-25,219225.6580045702
2018-06-01,221107.80513201214
2018-06-08,222584.79654703112
2018-06-15,223619.40718068296
2018-06-22,223705.18229887355
2018-06-29,221481.95341173557
2018-07-06,222688.1546560299
2018-07-13,227778.54152422067
2018-07-20,227598.6943771366
2018-07-27,233141.77765046366
2018-08-03,234846.15690527993
2018-08-10,236266.30136034955
2018-08-17,237119.00575958964
2018-08-24,238903.99222714658
2018-08-31,241454.87843208917
2018-09-07,239565.4841247389
2018-09-14,238037.8633860151
2018-09-21,230345.94080204624
2018-09-28,225950.13253860583
2018-10-05,213257.75675355358
2018-10-12,216483.5592979799
2018-10-19,212991.08475748444
2018-10-26,207336.3666515864
2018-11-02,218147.62485286058
2018-11-09,218813.25511223896
2018-11-16,220818.40242681562
2018-11-23,217604.99478061686
2018-11-30,224840.06241053267
2018-12-07,221056.1260775129
2018-12-14,223366.17981363597
2018-12-21,222302.6208346122
2018-12-28,224491.75365805897
2019-01-04,221751.71403879634
2019-01-11,223149.12778473846
2019-01-18,225464.3494263115
2019-01-25,222851.44835596968
2019-02-01,225189.42089380088
2019-02-08,226221.95225299432
2019-02-15,221690.74890419163
2019-02-22,223080.91547022547
2019-03-01,224566.16342168592
2019-03-08,228119.62328391685
2019-03-15,236211.5134877281
2019-03-22,236832.7118725154
2019-03-29,239170.66422321592
2019-04-05,241154.11037232896
2019-04-12,240688.99888183438
2019-04-19,242949.43265078578
2019-04-26,242987.68726339372
2019-05-03,242111.20242423165
2019-05-10,233153.16319215822
2019-05-17,235804.29868797737
2019-05-24,244836.74768367768
2019-05-31,246463.6083567449
2019-06-07,245385.59539216585
2019-06-14,244406.78198766883
2019-06-21,242356.15306770656
2019-06-28,243694.64057924098
2019-07-05,244155.63389508016
2019-07-12,238808.9108417201
2019-07-19,236054.41723690214
2019-07-26,233264.77783759846
2019-08-02,227333.05192473138
2019-08-09,229654.49120254887
2019-08-16,228375.93928195536
2019-08-23,223860.2194623718
2019-08-30,227868.45500419743
2019-09-06,226275.71058195212
2019-09-13,228956.82396680705
2019-09-20,233056.0025322732
2019-09-27,237979.98688240204
2019-10-04,231000.20570686107
2019-10-11,233693.71398994353
2019-10-18,241069.34461067154
2019-10-25,239458.0078410848
2019-11-01,245797.9780973665
2019-11-08,246160.78120965676
2019-11-15,245898.24757537365
2019-11-22,246289.97884590525
2019-11-29,249218.1019615628
2019-12-06,246436.73928583128
2019-12-13,249851.69524457768
2019-12-20,253678.00436486086
2019-12-27,253140.54219806712
2020-01-03,252744.69275288013
2020-01-10,253367.93003786448
2020-01-17,255343.09946340535
2020-01-24,253191.19170890265
2020-01-31,247275.99905604922
2020-02-07,250092.50752626645
2020-02-14,250404.66112772122
2020-02-21,249730.75414477068
2020-02-28,231558.33949545448
2020-03-06,227169.7582247917
2020-03-13,205790.1333783906
2020-03-20,180782.6389061317
2020-03-27,179021.41269136607
2020-04-03,167105.25226746863
2020-04-10,188357.75875207965
2020-04-17,191558.75131292013
2020-04-24,189236.30267856942
2020-05-01,203820.13185829963
2020-05-08,191243.50908047377
2020-05-15,188873.4995662791
2020-05-22,186855.95735347486
2020-05-29,198040.33429080853
2020-06-05,209654.69711128174
2020-06-12,206156.0251216725
2020-06-19,211768.3704403072
2020-06-26,214633.4491469016
2020-07-03,219271.11942282534
2020-07-10,222593.05308347283
2020-07-17,225355.82341186292
2020-07-24,231401.24324462868
2020-07-31,228906.1744559716
2020-08-07,231812.5964061655
2020-08-14,231075.66520128248
2020-08-21,235069.40638329147
2020-08-28,240774.7740000251
2020-09-04,234289.05266035057
2020-09-11,236988.77857967754
2020-09-18,237825.9792625678
2020-09-25,228426.58879279107
2020-10-02,236006.87654418894
2020-10-09,246285.84048411928
2020-10-16,243148.9218760058
2020-10-23,246619.675063907
2020-10-30,240667.2977163708
2020-11-06,253507.46348501297
2020-11-13,262941.9997492754
2020-11-20,265817.4142667696
2020-11-27,268089.2335774154
2020-12-04,274075.72717577347
2020-12-11,279353.1881838259
2020-12-18,284452.8813192527
2020-12-25,284219.29603034153
2021-01-01,289785.13019992673
2021-01-08,296580.9258665977
2021-01-15,298367.991608613
2021-01-22,297090.489418814
2021-01-29,281849.28651614685
2021-02-05,308508.4516450588
2021-02-12,313449.9987988652
2021-02-19,309697.069898545
2021-02-26,300341.10194682615
2021-03-05,308794.7455321332
