Date,Adj Close,Close,High,Low,Open,Volume
2023-10-09,26472.94921875,26472.94921875,26605.599609375,26340.599609375,26597.69921875,686300
2023-10-10,26751.900390625,26751.900390625,26787.400390625,26523.75,26524.349609375,772400
2023-10-11,27002.5,27002.5,27052.25,26829.099609375,26835.30078125,722700
2023-10-12,27176.05078125,27176.05078125,27266.80078125,27003.19921875,27013.650390625,851100
2023-10-13,27201.349609375,27201.349609375,27262.849609375,27055.599609375,27092.099609375,667500
2023-10-16,27258.05078125,27258.05078125,27357.75,27136.05078125,27210.80078125,688200
2023-10-17,27510.25,27510.25,27530.150390625,27327.05078125,27385.30078125,712000
2023-10-18,27246.400390625,27246.400390625,27585.150390625,27220.69921875,27565.44921875,688900
2023-10-19,27089.05078125,27089.05078125,27185.30078125,26975.150390625,27087.69921875,638500
2023-10-20,26955.69921875,26955.69921875,27105.0,26895.900390625,27032.25,692900
2023-10-23,26449.650390625,26449.650390625,26949.5,26373.69921875,26918.75,550100
2023-10-25,26328.5,26328.5,26612.30078125,26111.80078125,26396.900390625,828900
2023-10-26,26045.0,26045.0,26230.349609375,25833.44921875,26220.0,784200
2023-10-27,26522.650390625,26522.650390625,26601.900390625,26144.599609375,26144.849609375,599500
2023-10-30,26840.900390625,26840.900390625,26890.599609375,26486.0,26604.900390625,677100
2023-10-31,26785.05078125,26785.05078125,26992.099609375,26692.5,26971.80078125,789800
2023-11-01,26679.19921875,26679.19921875,26908.650390625,26644.75,26841.19921875,1022100
2023-11-02,26960.80078125,26960.80078125,27002.0,26824.75,26866.599609375,1224400
2023-11-03,27085.80078125,27085.80078125,27161.75,27009.94921875,27019.44921875,750300
2023-11-06,27448.900390625,27448.900390625,27466.30078125,27203.30078125,27226.94921875,1181100
2023-11-07,27508.349609375,27508.349609375,27580.19921875,27395.099609375,27481.0,1353500
2023-11-08,27622.849609375,27622.849609375,27677.5,27586.599609375,27638.099609375,1331500
2023-11-09,27541.80078125,27541.80078125,27688.400390625,27510.5,27682.599609375,1103200
2023-11-10,27738.0,27738.0,27753.75,27456.150390625,27535.849609375,784300
2023-11-13,28066.25,28066.25,28119.25,27848.55078125,27919.75,1221300
2023-11-15,28352.5,28352.5,28430.30078125,28193.44921875,28430.30078125,1416000
2023-11-16,28447.80078125,28447.80078125,28577.349609375,28306.94921875,28369.19921875,1579100
2023-11-17,28312.650390625,28312.650390625,28514.94921875,28284.849609375,28459.849609375,1190500
2023-11-20,28287.19921875,28287.19921875,28407.900390625,28211.150390625,28340.400390625,701200
2023-11-21,28356.25,28356.25,28488.150390625,28269.44921875,28450.44921875,768000
2023-11-22,28504.650390625,28504.650390625,28549.69921875,28313.150390625,28371.650390625,722600
2023-11-23,28594.849609375,28594.849609375,28636.55078125,28410.94921875,28545.400390625,692800
2023-11-24,28558.75,28558.75,28714.150390625,28534.25,28625.80078125,704500
2023-11-28,29252.94921875,29252.94921875,29307.94921875,28670.69921875,28736.44921875,1675700
2023-11-29,29311.849609375,29311.849609375,29526.80078125,29262.650390625,29493.349609375,1440100
2023-11-30,29294.900390625,29294.900390625,29344.69921875,29056.05078125,29314.849609375,2138900
2023-12-01,29559.75,29559.75,29800.69921875,29421.44921875,29431.5,1512500
2023-12-04,30330.5,30330.5,30437.25,30084.099609375,30407.44921875,2180500
2023-12-05,31311.900390625,31311.900390625,31344.099609375,30305.099609375,30526.0,2257800
2023-12-06,31797.25,31797.25,32024.099609375,31525.349609375,31750.80078125,2189100
2023-12-07,32188.80078125,32188.80078125,32299.75,31833.599609375,31867.75,3059400
2023-12-08,31896.25,31896.25,32409.5,31542.55078125,32391.849609375,1940700
2023-12-11,32023.05078125,32023.05078125,32159.5,31910.849609375,31971.900390625,1411700
2023-12-12,31603.19921875,31603.19921875,32074.400390625,31481.650390625,32027.80078125,1005500
2023-12-13,31812.099609375,31812.099609375,31853.400390625,31495.150390625,31653.349609375,1507200
2023-12-14,32075.80078125,32075.80078125,32151.099609375,31924.650390625,32085.80078125,1420100
2023-12-15,32580.650390625,32580.650390625,32675.650390625,32095.75,32313.19921875,1921900
2023-12-18,32521.25,32521.25,32640.05078125,32393.849609375,32640.05078125,1129100
2023-12-19,33036.1484375,33036.1484375,33126.19921875,32496.44921875,32754.25,1267800
2023-12-20,32151.599609375,32151.599609375,33574.1015625,32077.349609375,33236.3984375,2170600
2023-12-21,32720.099609375,32720.099609375,32781.5,31787.05078125,31925.25,1354200
2023-12-22,32810.1484375,32810.1484375,33042.5,32573.400390625,32863.25,944700
2023-12-26,33246.25,33246.25,33308.25,32918.3984375,32955.05078125,1081600
2023-12-27,33212.6015625,33212.6015625,33537.30078125,33091.3984375,33473.3984375,936400
2023-12-28,33721.3984375,33721.3984375,33784.80078125,33262.94921875,33345.6015625,2304500
2023-12-29,33468.05078125,33468.05078125,33679.5,33287.3515625,33678.8984375,1148300
2024-01-02,33703.69921875,33703.69921875,33791.3984375,33238.1484375,33632.1015625,1173000
2024-01-03,33791.6015625,33791.6015625,34074.6484375,33657.1015625,33902.55078125,1148800
2024-01-04,34189.25,34189.25,34328.05078125,33863.19921875,33974.8984375,1706100
2024-01-05,34216.1484375,34216.1484375,34503.80078125,34067.25,34387.69921875,1426700
2024-01-08,34142.6015625,34142.6015625,34472.8984375,34046.6484375,34374.6015625,1082200
2024-01-09,34226.69921875,34226.69921875,34460.94921875,34184.6015625,34379.1015625,830400
2024-01-10,34330.6484375,34330.6484375,34374.30078125,33791.6484375,34188.75,1153800
2024-01-11,34776.69921875,34776.69921875,34831.3515625,34493.6484375,34529.0,1274500
2024-01-12,34969.94921875,34969.94921875,35016.44921875,34571.0,34910.19921875,1305900
2024-01-15,35449.8515625,35449.8515625,35480.1015625,34807.6484375,35190.8515625,1369700
2024-01-16,35185.05078125,35185.05078125,35495.55078125,35062.19921875,35456.19921875,1613200
2024-01-17,34853.25,34853.25,35319.8984375,34718.25,34945.0,1391700
2024-01-18,34580.5,34580.5,34846.1015625,34066.5,34532.6015625,1507600
2024-01-19,34985.30078125,34985.30078125,35034.19921875,34679.3984375,34881.05078125,1433000
2024-01-23,34324.30078125,34324.30078125,35846.44921875,34124.55078125,35845.0,1729600
2024-01-24,34895.1015625,34895.1015625,34982.8515625,34104.5,34440.25,1827500
2024-01-25,35203.8515625,35203.8515625,35330.0,34876.80078125,34979.8515625,1622800
2024-01-29,37024.75,37024.75,37106.5,35468.3984375,35542.25,2276400
2024-01-30,36398.80078125,36398.80078125,37221.94921875,36346.25,37221.94921875,1994100
2024-01-31,36748.0,36748.0,36827.8515625,36460.30078125,36470.75,1748000
2024-02-01,36910.6015625,36910.6015625,37237.6484375,36714.05078125,36978.30078125,1625800
2024-02-02,38077.69921875,38077.69921875,38226.6015625,37122.75,37139.05078125,2808700
2024-02-05,38481.30078125,38481.30078125,39045.30078125,38028.8515625,38395.44921875,2649300
2024-02-06,38721.3984375,38721.3984375,38796.0,37968.5,38646.6015625,2314200
2024-02-07,38945.5,38945.5,39425.75,38768.1484375,39025.8984375,2019400
2024-02-08,39354.3515625,39354.3515625,39600.1015625,38901.94921875,39218.44921875,2664100
2024-02-09,39037.6484375,39037.6484375,39612.94921875,38386.1015625,39571.5,2363900
2024-02-12,38097.1015625,38097.1015625,38990.0,37946.1484375,38937.3984375,1975500
2024-02-13,38394.30078125,38394.30078125,38635.0,37820.3984375,38271.44921875,1675700
2024-02-14,39253.5,39253.5,39324.44921875,38087.44921875,38230.6015625,1838000
2024-02-15,39942.1484375,39942.1484375,40064.3515625,39344.75,39444.94921875,2226100
2024-02-16,39682.3984375,39682.3984375,40194.8984375,39627.05078125,40140.30078125,1888900
2024-02-20,39955.1484375,39955.1484375,40027.8515625,39609.6484375,39859.1015625,1694300
2024-02-21,39283.1484375,39283.1484375,40113.30078125,39133.44921875,40067.6484375,1296300
2024-02-22,39589.55078125,39589.55078125,39651.19921875,38723.30078125,39388.6015625,1557500
2024-02-23,39561.44921875,39561.44921875,39704.25,39375.3515625,39696.3984375,972600
2024-02-26,39758.8984375,39758.8984375,39901.69921875,39414.8984375,39590.69921875,1237900
2024-02-27,39659.5,39659.5,39837.80078125,39461.55078125,39617.75,1243400
2024-02-28,38748.05078125,38748.05078125,39698.80078125,38652.3515625,39624.8984375,1080200
2024-02-29,38838.0,38838.0,39047.30078125,38567.6484375,38911.44921875,1638600
2024-03-01,39707.1015625,39707.1015625,39757.3984375,39050.1015625,39059.05078125,1070100
2024-03-04,40466.6015625,40466.6015625,40635.6484375,39895.55078125,39927.05078125,1636100
2024-03-05,40646.1015625,40646.1015625,40702.3984375,40264.19921875,40468.94921875,1086200
2024-03-06,40451.5,40451.5,40749.19921875,39747.3984375,40558.69921875,1298800
2024-03-07,40301.80078125,40301.80078125,40681.8515625,40182.80078125,40475.69921875,1752600
2024-03-11,39853.1015625,39853.1015625,40415.05078125,39761.8984375,40251.3984375,1271300
2024-03-12,39599.25,39599.25,39990.69921875,39539.1015625,39863.25,1120400
